"","env1","env2","env3","env4","env5","env6","lat","long"
"s__Sandaracinus_amylolyticus",0.29785,0.92791,0.21999,0.02711,0.44674,0.09747,0.5272,0.21028
"s__Devosia_insulae",0.02936,0.82306,0.56068,0.49098,0.19446,0.80736,0.12795,0.26466
"s__Massilia_aerilata",0.05696,0.13412,0.64947,0.59532,0.36253,0.43793,0.35312,0.67325
"s__un_f__Pseudonocardiaceae",0.43687,0.54686,0.16075,0.83734,0.02357,0.86508,0.20892,0.59802
"s__Nocardioides_albus",0.39342,0.62007,0.48881,0.5967,0.41954,0.49363,0.54666,0.54871
"s__Devosia_chinhatensis",0.28348,0.15568,0.23489,0.56073,0.3214,0.97996,0.60316,0.03981
"s__un_g__Pseudonocardia",0.21832,0.3604,0.34338,0.51968,0.33817,0.41248,0.34833,0.37241
"s__Phyllobacterium_bourgognense",0.85069,0.02165,0.44587,0.88585,0.93629,0.8362,0.40792,0.51266
"s__Actinoplanes_xinjiangensis",0.5633,0.81575,0.98595,0.93933,0.56967,0.77544,0.50168,0.90243
"s__un_g__Aquabacterium",0.48278,0.80117,0.78126,0.15117,0.79082,0.35915,0.29047,0.53367
"s__un_o__Cytophagales",0.14818,0.36829,0.22745,0.468,0.44633,0.42188,0.94778,0.90178
"s__un_g__Mesorhizobium",0.10797,0.7361,0.82134,0.71677,0.16697,0.56849,0.32827,0.33937
"s__un_g__Niastella",0.08563,0.97235,0.54832,0.60912,0.59952,0.88589,0.95562,0.45847
"s__un_f__Streptosporangiaceae",0.24256,0.39438,0.75984,0.45726,0.38032,0.07298,0.47823,0.79706
"s__Variovorax_boronicumulans",0.33264,0.46277,0.26184,0.96243,0.00826,0.9676,0.44916,0.9121
"s__Aeromicrobium_ginsengisoli",0.36675,0.60275,0.25003,0.05624,0.55268,0.94827,0.40456,0.55958
"s__Rhizobium_alvei",0.06859,0.35748,0.43178,0.62987,0.52987,0.5998,0.60132,0.26019
"s__Lysobacter_panaciterrae",0.44906,0.25917,0.82621,0.08811,0.8848,0.67297,0.1229,0.54472
"s__un_g__Altererythrobacter",0.05833,0.5729,0.12961,0.77663,0.13831,0.96553,0.26006,0.1919
"s__Hyphomicrobium_vulgare",0.05803,0.89942,0.6946,0.56798,0.4272,0.28978,0.56257,0.35002
"s__un_g__Bosea",0.1645,0.70949,0.406,0.82065,0.18094,0.4731,0.31295,0.504
"s__Massilia_namucuonensis",0.54676,0.25755,0.03741,0.09339,0.49026,0.28373,0.54921,0.31113
"s__un_g__Steroidobacter",0.73377,0.63477,0.76126,0.60186,0.36562,0.71152,0.73521,0.49203
"s__un_c__Actinobacteria",0.21267,0.62717,0.03834,0.14972,0.05694,0.94774,0.28382,0.12465
"s__Verrucosispora_andamanensis",0.70582,0.52145,0.90199,0.24886,0.36704,0.23491,0.20355,0.24675
"s__Reyranella_soli",0.30817,0.21819,0.16422,0.69652,0.94279,0.60525,0.95809,0.62421
"s__Bosea_eneae",0.02088,0.32539,0.48279,0.69219,0.72628,0.89547,0.82469,0.28008
"s__Permianibacter_aggregans",0.4698,0.16042,0.45747,0.65771,0.09883,0.36547,0.98154,0.86486
"s__un_p__Chloroflexi",0.0092,0.99921,0.66033,0.53195,0.15584,0.66644,0.97732,0.74327
"s__Paenibacillus_panacisoli",0.00005,0.17343,0.76308,0.2324,0.16452,0.53602,0.15883,0.47096
"s__un_g__Hyphomonas",0.93775,0.32327,0.09798,0.78691,0.53912,0.40562,0.53692,0.70464
"s__un_f__Methylophilaceae",0.80756,0.27332,0.55822,0.26051,0.90757,0.76972,0.69844,0.60426
"s__Nocardioides_agariphilus",0.33501,0.77279,0.42402,0.96768,0.24471,0.81835,0.87496,0.51016
"s__Sphingomonas_soli",0.08914,0.36373,0.49838,0.80403,0.02059,0.68338,0.5162,0.86841
