"","env1","env2","env3","env4","env5","env6","lat","long"
"s__Terribacillus_goriensis",0.75687,0.2435,0.00259,0.31442,0.19271,0.0312,0.60739,0.6771
"s__un_g__Spartobacteria_genera_incertae_sedis",0.15042,0.65867,0.20072,0.9422,0.97578,0.9882,0.712,0.12264
"s__Hyphomicrobium_zavarzinii",0.10562,0.76942,0.13593,0.82372,0.54669,0.91185,0.51982,0.70099
"s__Altererythrobacter_troitsensis",0.15812,0.21166,0.594,0.89239,0.46996,0.78056,0.91352,0.29528
"s__un_f__Cystobacteraceae",0.01764,0.47449,0.12052,0.70847,0.80091,0.10062,0.70136,0.60894
"s__Bacillus_infantis",0.15869,0.63136,0.02617,0.06221,0.32674,0.29939,0.25593,0.29473
"s__un_p__Verrucomicrobia",0.97987,0.59246,0.0185,0.29642,0.4566,0.05464,0.37376,0.3859
"s__Mesorhizobium_silamurunense",0.35731,0.38678,0.88885,0.93148,0.10119,0.2594,0.26748,0.37663
"s__Blastopirellula_cremea",0.55835,0.52002,0.06926,0.02586,0.61896,0.41247,0.35607,0.37994
"s__Labilithrix_luteola",0.40663,0.76995,0.2833,0.73927,0.44131,0.59717,0.12016,0.95896
"s__Nonomuraea_muscovyensis",0.9804,0.72632,0.44301,0.5862,0.81698,0.26539,0.02504,0.22139
"s__Paenibacillus_terrae",0.1283,0.1356,0.1621,0.71381,0.93451,0.24159,0.9349,0.25644
"s__un_g__Chryseobacterium",0.7554,0.45023,0.04696,0.308,0.5813,0.70679,0.91954,0.78831
"s__un_f__Paenibacillaceae_2",0.78952,0.1722,0.38389,0.53849,0.07002,0.59338,0.39425,0.82331
"s__Paenibacillus_urinalis",0.37469,0.34961,0.07178,0.37291,0.17245,0.9422,0.00579,0.67868
"s__Streptomyces_chrysomallus_subsp._chrysomallus",0.04526,0.92138,0.29373,0.18358,0.70326,0.49075,0.27633,0.69994
"s__Opitutus_terrae",0.58195,0.85378,0.06588,0.33621,0.79252,0.70078,0.85964,0.41755
"s__Mycobacterium_canariasense",0.12689,0.3804,0.66438,0.23272,0.3459,0.67814,0.95167,0.69366
"s__Nocardioides_marinquilinus",0.21973,0.85709,0.16196,0.86242,0.0885,0.88963,0.38666,0.06298
"s__Caenimonas_terrae",0.72691,0.3727,0.70505,0.86019,0.79461,0.93955,0.62313,0.52509
"s__un_g__Subdivision3_genera_incertae_sedis",0.87148,0.51168,0.75446,0.13039,0.68634,0.83506,0.34319,0.23564
"s__Nocardioides_iriomotensis",0.56515,0.05158,0.16103,0.47929,0.43672,0.22728,0.11199,0.49927
"s__un_g__Conexibacter",0.75319,0.50079,0.83676,0.22088,0.52021,0.6135,0.53042,0.93035
"s__Flavobacterium_saliperosum",0.68228,0.39337,0.54769,0.74052,0.55869,0.47647,0.77989,0.1695
"s__Paenibacillus_brasilensis",0.09658,0.14341,0.37105,0.0858,0.29704,0.73228,0.57639,0.82492
"s__un_o__Rhodospirillales",0.81962,0.7989,0.14348,0.20434,0.35224,0.32107,0.47861,0.29018
"s__un_f__Sinobacteraceae",0.41981,0.07649,0.28133,0.88113,0.7386,0.91021,0.2029,0.18069
"s__Agromyces_subbeticus",0.5368,0.40759,0.58975,0.48934,0.94412,0.75743,0.94615,0.04916
"s__Cryobacterium_arcticum",0.38163,0.23165,0.56415,0.12214,0.72857,0.0131,0.49856,0.11945
"s__Streptomyces_seranimatus",0.1645,0.57248,0.71707,0.86288,0.46416,0.66761,0.94863,0.07471
"s__un_f__Nocardioidaceae",0.60929,0.72147,0.02507,0.00815,0.53396,0.04685,0.6082,0.19609
"s__Paenisporosarcina_macmurdoensis",0.56648,0.232,0.1283,0.34315,0.44277,0.94027,0.89478,0.35285
"s__un_f__Myxococcaceae",0.27639,0.60248,0.83005,0.54547,0.46319,0.06641,0.1717,0.3758
"s__Cohnella_panacarvi",0.01746,0.43401,0.54901,0.03151,0.13947,0.79804,0.98917,0.51892
"s__Cupriavidus_necator",0.78373,0.07929,0.09648,0.01155,0.16594,0.49005,0.29854,0.93688
"s__un_f__Flammeovirgaceae",0.1278,0.57607,0.99386,0.1212,0.65221,0.84735,0.63392,0.67961
"s__un_g__Geodermatophilus",0.34273,0.76203,0.78525,0.43938,0.07106,0.26627,0.86432,0.13921
"s__un_f__Propionibacteriaceae",0.06135,0.45724,0.22615,0.57047,0.35384,0.84073,0.40539,0.81366
"s__un_f__Caldilineaceae",0.52796,0.58815,0.43674,0.41534,0.13461,0.15443,0.81208,0.06335
"s__Duganella_phyllosphaerae",0.62973,0.15837,0.48767,0.25957,0.875,0.0041,0.11603,0.30597
"s__Bacillus_litoralis",0.68031,0.04793,0.33812,0.45963,0.0033,0.29211,0.05709,0.38041
"s__un_g__Haliangium",0.39143,0.9338,0.13643,0.07926,0.50236,0.3188,0.54428,0.81597
"s__un_g__Acidovorax",0.98068,0.24412,0.76124,0.70554,0.12609,0.16925,0.64419,0.09168
"s__Reyranella_massiliensis",0.00571,0.46578,0.61041,0.53994,0.80141,0.77401,0.9623,0.72011
"s__Agromyces_indicus",0.07235,0.21252,0.90436,0.92618,0.14229,0.73386,0.85608,0.43073
"s__un_g__Cystobacter",0.08029,0.34836,0.51793,0.90599,0.26174,0.54995,0.98129,0.93353
"s__Bradyrhizobium_daqingense",0.76965,0.14122,0.61426,0.18107,0.86883,0.55911,0.32847,0.40274
"s__un_g__Sporichthya",0.14656,0.23479,0.40442,0.10268,0.1704,0.35762,0.87817,0.61255
"s__Pirellula_staleyi",0.86466,0.80541,0.61713,0.09783,0.50785,0.30769,0.3181,0.67477
"s__Bacillus_kokeshiiformis",0.01109,0.04284,0.17341,0.74008,0.18337,0.62154,0.22472,0.85271
"s__Tumebacillus_ginsengisoli",0.14108,0.42044,0.78944,0.33013,0.12063,0.15897,0.61765,0.33398
"s__un_g__Gp3",0.77291,0.7026,0.25077,0.85155,0.53111,0.04187,0.12033,0.58596
"s__un_p__Actinobacteria",0.9952,0.85927,0.015,0.79774,0.27371,0.09411,0.64608,0.32685
"s__Pseudonocardia_seranimata",0.5538,0.21282,0.97365,0.13566,0.9679,0.96481,0.15582,0.61101
"s__un_g__Dokdonella",0.3676,0.52359,0.53001,0.82735,0.92336,0.61041,0.92522,0.31028
"s__un_g__Brevundimonas",0.56718,0.65918,0.50435,0.32618,0.14692,0.22521,0.9536,0.52632
"s__un_g__Methylotenera",0.62758,0.79244,0.30762,0.04554,0.93409,0.37725,0.49206,0.77581
"s__Microbacterium_fluvii",0.95659,0.26987,0.92332,0.99001,0.93736,0.20397,0.2564,0.1065
"s__Nocardioides_caricicola",0.73485,0.84998,0.38177,0.01837,0.188,0.26414,0.15621,0.59101
"s__Paenibacillus_prosopidis",0.65152,0.91339,0.13452,0.7988,0.54015,0.0189,0.12826,0.92943
"s__un_f__Chitinophagaceae",0.13459,0.70934,0.51565,0.4298,0.86931,0.63353,0.85342,0.58412
"s__Bacillus_idriensis",0.30355,0.13659,0.05324,0.08599,0.16886,0.46514,0.12199,0.24341
"s__un_f__Lachnospiraceae",0.57995,0.92591,0.25521,0.39127,0.33728,0.67071,0.24228,0.58751
"s__Lechevalieria_xinjiangensis",0.22563,0.69307,0.73055,0.08673,0.89166,0.12098,0.86936,0.18349
"s__un_f__Paenibacillaceae_1",0.24697,0.37948,0.08007,0.34036,0.6774,0.29834,0.78078,0.50717
"s__un_p__Bacteroidetes",0.16613,0.27797,0.63934,0.88919,0.2023,0.36229,0.30138,0.6922
"s__Catelliglobosispora_koreensis",0.87698,0.7295,0.82504,0.53456,0.67485,0.60622,0.39899,0.98274
"s__un_g__Saccharibacteria_genera_incertae_sedis",0.00141,0.92105,0.76808,0.73328,0.07464,0.30387,0.70225,0.16041
"s__Nannocystis_exedens",0.31658,0.47484,0.03579,0.95486,0.57962,0.32865,0.6472,0.34307
"s__Paenibacillus_glycanilyticus",0.03869,0.87793,0.62293,0.84554,0.65169,0.28687,0.69546,0.59931
"s__un_g__Novosphingobium",0.46533,0.30599,0.90285,0.03371,0.61383,0.77727,0.30633,0.79214
"s__un_g__Bdellovibrio",0.52533,0.74592,0.46616,0.80405,0.32165,0.92067,0.17039,0.98929
"s__un_g__Caulobacter",0.1018,0.31417,0.37859,0.59314,0.44723,0.97004,0.18618,0.73654
"s__un_g__Lysinibacillus",0.24467,0.05957,0.76344,0.94883,0.91327,0.71384,0.5296,0.35003
"s__Brevibacillus_ginsengisoli",0.9582,0.25092,0.67642,0.0402,0.19528,0.43578,0.72679,0.88986
"s__Bauldia_consociata",0.91738,0.02859,0.03278,0.99511,0.2012,0.14232,0.91652,0.27632
"s__un_g__Fictibacillus",0.41416,0.8617,0.68599,0.69244,0.42431,0.1327,0.406,0.59097
"s__Xenophilus_aerolatus",0.7367,0.07587,0.31704,0.00869,0.5602,0.54936,0.60629,0.49882
"s__un_g__Terrimonas",0.23662,0.79566,0.39975,0.40672,0.50501,0.01432,0.95504,0.84479
"s__un_g__Romboutsia",0.24726,0.02607,0.41082,0.36458,0.04027,0.20543,0.99692,0.83882
"s__un_g__Pantoea",0.62356,0.45108,0.16211,0.21474,0.98136,0.38192,0.32578,0.43434
"s__un_g__Amaricoccus",0.99902,0.08212,0.25917,0.12214,0.79178,0.08507,0.9287,0.47894
"s__Lysobacter_dokdonensis",0.77099,0.99591,0.4808,0.00738,0.6352,0.78471,0.9557,0.75858
"s__Cellulosimicrobium_funkei",0.46268,0.87262,0.21125,0.39947,0.52393,0.56475,0.57675,0.6773
"s__Pseudonocardia_parietis",0.48801,0.82212,0.40304,0.52599,0.07226,0.56952,0.03366,0.87193
"s__Paenibacillus_pectinilyticus",0.93557,0.61332,0.23286,0.71283,0.37465,0.30687,0.84559,0.51031
"s__un_g__Pseudorhodoferax",0.87916,0.71569,0.35372,0.97608,0.09371,0.52762,0.01477,0.74934
"s__Flavobacterium_anhuiense",0.90836,0.97753,0.0352,0.97699,0.16195,0.99316,0.75922,0.037
"s__un_f__Nannocystaceae",0.67255,0.90815,0.19527,0.94087,0.25857,0.81256,0.34497,0.38975
"s__un_g__Sphingopyxis",0.01959,0.59889,0.73542,0.3783,0.74672,0.49982,0.98151,0.01989
"s__un_f__Flavobacteriaceae",0.37193,0.79614,0.07367,0.20373,0.51686,0.15006,0.26077,0.28138
"s__un_f__Bacillaceae_2",0.70072,0.03752,0.14812,0.69499,0.78426,0.60697,0.8563,0.58171
"s__Cryptosporangium_minutisporangium",0.94659,0.80924,0.58651,0.30264,0.79833,0.00268,0.67665,0.50939
"s__un_g__Armatimonadetes_gp5",0.70514,0.36604,0.48683,0.06986,0.69088,0.9295,0.37794,0.46661
"s__Nocardioides_mesophilus",0.112,0.0856,0.80379,0.82291,0.40131,0.37023,0.86515,0.03411
"s__Phytohabitans_houttuyneae",0.2863,0.53897,0.63769,0.40632,0.03587,0.27305,0.23294,0.92693
"s__Arenimonas_metalli",0.00124,0.41759,0.53951,0.87056,0.1949,0.12117,0.20691,0.67954
"s__Brevundimonas_faecalis",0.0524,0.64446,0.43002,0.53279,0.94476,0.97047,0.80556,0.08694
"s__Rhodopseudomonas_rhenobacensis",0.85247,0.05102,0.36224,0.17831,0.07691,0.61124,0.39185,0.30612
"s__un_g__Tumebacillus",0.34231,0.92405,0.54752,0.07991,0.73973,0.92917,0.79489,0.54935
"s__Pseudonocardia_kunmingensis",0.62876,0.70379,0.18759,0.81821,0.74781,0.41566,0.3669,0.31908
"s__Reyranella_graminifolii",0.32367,0.66586,0.70033,0.27344,0.68304,0.2985,0.60989,0.69272
"s__Nocardioides_panacisoli",0.78269,0.53442,0.768,0.03026,0.75107,0.63107,0.19391,0.77197
"s__un_g__Gp5",0.19807,0.56756,0.1198,0.99479,0.324,0.24001,0.50418,0.9534
"s__un_f__Erythrobacteraceae",0.02202,0.53181,0.63974,0.63264,0.26806,0.30006,0.81685,0.7579
"s__Ignavibacterium_album",0.34149,0.47051,0.76695,0.67436,0.35438,0.76927,0.86816,0.25177
"s__Solirubrobacter_taibaiensis",0.32515,0.76142,0.24122,0.03496,0.92235,0.45803,0.33231,0.77073
"s__Umezawaea_tangerina",0.28954,0.72515,0.2734,0.11031,0.8233,0.41112,0.52894,0.2849
"s__un_g__Cellvibrio",0.76905,0.2267,0.34477,0.05867,0.02716,0.42769,0.27585,0.61982
"s__Phytohabitans_flavus",0.44475,0.12995,0.49113,0.34865,0.46354,0.13564,0.64897,0.42782
"s__un_g__Brevibacillus",0.75913,0.24096,0.95015,0.62279,0.78021,0.88423,0.79297,0.34147
"s__un_g__Paenisporosarcina",0.1492,0.44341,0.11369,0.71209,0.4186,0.31884,0.47472,0.46341
"s__Actinophytocola_timorensis",0.5735,0.85583,0.13097,0.2704,0.0782,0.29282,0.20659,0.48856
"s__Paenibacillus_barcinonensis",0.68911,0.34915,0.07773,0.00477,0.03323,0.21413,0.949,0.28912
"s__Solirubrobacter_pauli",0.65266,0.25736,0.93225,0.76251,0.19168,0.01015,0.94836,0.71675
"s__Burkholderia_heleia",0.75417,0.54671,0.21273,0.60491,0.01489,0.01156,0.93255,0.80708
"s__Aciditerrimonas_ferrireducens",0.63464,0.91794,0.71039,0.21666,0.93382,0.68677,0.78283,0.22747
"s__Streptomyces_bullii",0.71858,0.72341,0.04154,0.22512,0.23666,0.30537,0.41389,0.37159
"s__un_g__Methylophilus",0.28614,0.45602,0.82224,0.46124,0.94213,0.419,0.64959,0.59251
"s__un_f__Verrucomicrobiaceae",0.30678,0.74275,0.97877,0.27396,0.85855,0.76399,0.408,0.01976
"s__Chryseobacterium_wanjuense",0.13262,0.79662,0.33519,0.11456,0.13147,0.83339,0.85554,0.67489
"s__Rubrivivax_gelatinosus",0.99077,0.07937,0.41644,0.11698,0.627,0.2525,0.8623,0.1057
"s__Turicibacter_sanguinis",0.68178,0.45915,0.20592,0.86595,0.82857,0.79643,0.67053,0.93427
"s__Microvirga_aerilata",0.16859,0.67219,0.55311,0.7568,0.31596,0.85142,0.72812,0.35565
"s__Schlegelella_aquatica",0.9662,0.58121,0.1694,0.47203,0.4558,0.90523,0.19393,0.68842
"s__un_f__Planococcaceae",0.58615,0.17136,0.20308,0.5505,0.69959,0.87859,0.98974,0.92045
"s__Brevundimonas_aveniformis",0.62565,0.12891,0.27625,0.79467,0.6998,0.723,0.27239,0.22244
"s__un_g__Blastopirellula",0.5549,0.13441,0.55248,0.83863,0.64419,0.67365,0.13619,0.72767
"s__un_g__Ochrobactrum",0.00769,0.27331,0.25851,0.91074,0.02591,0.62887,0.9069,0.51555
"s__Marmoricola_bigeumensis",0.94735,0.93306,0.31546,0.52305,0.75297,0.78801,0.51438,0.86639
"s__Amaricoccus_tamworthensis",0.84955,0.1678,0.05191,0.99911,0.47093,0.67646,0.92658,0.70267
"s__Aquihabitans_daechungensis",0.50352,0.88068,0.20944,0.1634,0.84136,0.33712,0.68011,0.18039
"s__Sporacetigenium_mesophilum",0.68621,0.25077,0.16874,0.00389,0.44707,0.3778,0.77375,0.80156
"s__Bdellovibrio_exovorus",0.08965,0.86689,0.35356,0.51184,0.70956,0.67955,0.89916,0.53656
"s__un_o__Sphingobacteriales",0.86516,0.76459,0.17455,0.7695,0.63206,0.00051,0.1904,0.71169
"s__un_o__Bacillales",0.09994,0.94646,0.74274,0.94068,0.93443,0.27946,0.60789,0.01454
"s__un_o__Flavobacteriales",0.27761,0.65191,0.74162,0.72968,0.23384,0.56579,0.77701,0.68817
"s__Byssovorax_cruenta",0.64279,0.60392,0.78564,0.94172,0.99169,0.37432,0.60914,0.12022
"s__Chryseolinea_serpens",0.22843,0.2817,0.14344,0.69833,0.49514,0.75281,0.69781,0.69957
"s__Devosia_riboflavina",0.80068,0.02326,0.74621,0.63974,0.58761,0.4764,0.22236,0.12541
"s__un_f__Iamiaceae",0.75492,0.00394,0.55156,0.50882,0.09413,0.73081,0.43904,0.57372
"s__Marmoricola_scoriae",0.38603,0.35985,0.78867,0.61632,0.34383,0.84306,0.16198,0.98987
"s__Yonghaparkia_alkaliphila",0.64851,0.18754,0.73574,0.3295,0.07483,0.83118,0.51408,0.31726
"s__Altererythrobacter_xinjiangensis",0.53329,0.75195,0.27258,0.72288,0.37551,0.70288,0.47843,0.77656
"s__Bacillus_plakortidis",0.09735,0.54002,0.91686,0.3606,0.37525,0.3397,0.85252,0.19739
"s__Nonomuraea_jabiensis",0.01827,0.42392,0.21931,0.92812,0.99615,0.51572,0.6508,0.55519
"s__un_g__Rhizomicrobium",0.61958,0.42402,0.06797,0.17184,0.92169,0.11296,0.52662,0.74124
"s__Phreatobacter_oligotrophus",0.17401,0.42275,0.9871,0.95476,0.16343,0.51114,0.64101,0.14605
"s__un_g__Shinella",0.1836,0.13618,0.27201,0.25511,0.53241,0.86722,0.77075,0.46941
"s__Oligoflexus_tunisiensis",0.48197,0.37056,0.68092,0.04464,0.37533,0.5323,0.40421,0.09032
"s__Ramlibacter_henchirensis",0.10801,0.06913,0.52718,0.58113,0.07888,0.43984,0.36349,0.94783
"s__Sphingorhabdus_planktonica",0.7506,0.67253,0.18339,0.58405,0.5731,0.52254,0.22049,0.52669
"s__un_p__Planctomycetes",0.4439,0.65163,0.19945,0.20079,0.22853,0.63556,0.55877,0.90015
"s__Bacteriovorax_stolpii",0.11128,0.7831,0.67331,0.92956,0.92209,0.75522,0.02721,0.95442
"s__Nocardioides_daeguensis",0.35012,0.34626,0.68373,0.87661,0.26167,0.29158,0.37754,0.46229
"s__Cystobacter_gracilis",0.53523,0.029,0.3606,0.38205,0.11304,0.42638,0.00757,0.20379
"s__un_g__Planosporangium",0.48261,0.4836,0.15365,0.38745,0.83838,0.90016,0.6532,0.99982
"s__un_c__Acidobacteria_Gp4",0.97313,0.65503,0.00517,0.38295,0.27846,0.42414,0.17091,0.07412
"s__Rhizobium_rhizoryzae",0.2056,0.03484,0.55375,0.46288,0.98977,0.8502,0.7824,0.83242
"s__Arenimonas_oryziterrae",0.1282,0.07537,0.17393,0.79363,0.11991,0.1046,0.39285,0.87925
"s__un_g__Gracilibacillus",0.20726,0.09219,0.17062,0.9168,0.1231,0.18391,0.15012,0.24953
"s__Nitrosospira_multiformis",0.00194,0.71077,0.65468,0.9316,0.33715,0.62505,0.67199,0.75616
"s__Mycobacterium_vaccae",0.56685,0.25129,0.17936,0.26823,0.54454,0.66643,0.83335,0.31344
"s__Phenylobacterium_koreense",0.50208,0.86325,0.04071,0.22879,0.28413,0.06225,0.9376,0.10979
"s__un_g__Cupriavidus",0.82369,0.00651,0.03188,0.03647,0.2836,0.95769,0.0885,0.11169
"s__un_g__Rubrobacter",0.00606,0.89273,0.77689,0.87212,0.55722,0.93957,0.81286,0.01856
"s__Bacillus_invictae",0.5413,0.88054,0.34634,0.46659,0.533,0.3597,0.57189,0.03032
"s__Microvirga_lupini",0.7993,0.81578,0.09885,0.76426,0.12239,0.33653,0.98171,0.51929
"s__Cystobacter_violaceus",0.89429,0.18329,0.39634,0.66105,0.26057,0.50743,0.50448,0.11181
"s__Streptomyces_fimbriatus",0.92253,0.68558,0.11727,0.26868,0.1817,0.97587,0.85932,0.32277
"s__un_g__Cedecea",0.13901,0.14729,0.18294,0.30176,0.19126,0.30827,0.83748,0.79311
"s__un_f__Microbacteriaceae",0.9531,0.02849,0.62955,0.76774,0.2958,0.66179,0.007,0.5896
"s__un_o__Chlamydiales",0.53013,0.94365,0.95628,0.89411,0.41469,0.14015,0.619,0.1313
"s__Inquilinus_ginsengisoli",0.07407,0.1952,0.02024,0.7864,0.96963,0.96062,0.85595,0.69933
"s__Methyloversatilis_universalis",0.491,0.50727,0.57895,0.41846,0.58334,0.51299,0.95423,0.78977
"s__Flavobacterium_hauense",0.40468,0.14676,0.68538,0.93994,0.28929,0.45334,0.21676,0.05439
"s__un_g__Actinomadura",0.65863,0.60192,0.09015,0.87078,0.0007,0.1362,0.83251,0.2315
"s__Flavobacterium_gyeonganense",0.01009,0.87711,0.72661,0.74898,0.30746,0.48519,0.24896,0.18379
"s__un_g__Angustibacter",0.21238,0.5693,0.65093,0.63181,0.11,0.13698,0.69591,0.1813
"s__Roseimicrobium_gellanilyticum",0.55589,0.14441,0.17194,0.1721,0.25208,0.32418,0.04672,0.71411
"s__Rudaea_cellulosilytica",0.87455,0.88114,0.10386,0.55585,0.74162,0.95308,0.45421,0.37205
"s__un_f__Gracilibacteraceae",0.24682,0.69777,0.16089,0.58299,0.05276,0.82926,0.29616,0.41707
"s__Bacillus_horti",0.62427,0.45725,0.09862,0.13023,0.28527,0.00823,0.70282,0.19186
"s__un_g__Verrucosispora",0.8759,0.89995,0.84176,0.78457,0.6874,0.84659,0.63723,0.41393
"s__un_g__Cohnella",0.91334,0.61889,0.90915,0.93059,0.63307,0.10706,0.54867,0.16983
"s__un_p__Acidobacteria",0.61075,0.67305,0.77346,0.78004,0.5334,0.57968,0.85985,0.46857
"s__Starkeya_koreensis",0.70488,0.96874,0.16099,0.13082,0.12329,0.04139,0.82108,0.74893
"s__Nocardioides_terrigena",0.13509,0.05641,0.20729,0.67609,0.13769,0.3589,0.80683,0.2752
"s__Archangium_gephyra",0.23705,0.12366,0.35245,0.01678,0.46433,0.64708,0.32581,0.4246
"s__Lacibacter_daechungensis",0.02296,0.60693,0.77379,0.80647,0.37454,0.69194,0.95567,0.06823
"s__Azohydromonas_australica",0.1048,0.41148,0.70475,0.34715,0.56711,0.00877,0.55821,0.32234
"s__un_f__Burkholderiaceae",0.20251,0.50564,0.23001,0.05675,0.16973,0.23341,0.97209,0.87081
"s__un_c__Clostridia",0.77949,0.79784,0.58951,0.7895,0.98622,0.07813,0.47184,0.71259
"s__Flavobacterium_urocaniciphilum",0.2017,0.91784,0.13702,0.49925,0.25971,0.62813,0.93615,0.09789
"s__un_g__Armatimonas/Armatimonadetes_gp1",0.96951,0.32364,0.1866,0.43697,0.38882,0.68811,0.03979,0.88563
"s__Rhizomicrobium_electricum",0.67478,0.27462,0.82659,0.5866,0.72839,0.85493,0.49212,0.93239
"s__Ammoniibacillus_agariperforans",0.47138,0.83984,0.70783,0.62471,0.06424,0.76044,0.83265,0.39912
"s__Clostridium_roseum",0.52238,0.471,0.01862,0.45613,0.79643,0.59055,0.07443,0.81043
"s__un_g__Stenotrophomonas",0.31119,0.91303,0.34577,0.7448,0.08316,0.36628,0.3788,0.78606
"s__Nonomuraea_maritima",0.49743,0.68641,0.40843,0.31819,0.16925,0.74548,0.05862,0.03885
"s__Ensifer_saheli",0.23899,0.75552,0.1825,0.91243,0.6422,0.99163,0.5142,0.95306
"s__Bacillus_nealsonii",0.23892,0.04303,0.45054,0.77314,0.60644,0.72646,0.53908,0.03616
"s__un_g__Gp7",0.31407,0.78142,0.38543,0.40986,0.02889,0.80867,0.02031,0.96866
"s__Nocardia_salmonicida",0.71624,0.60035,0.64914,0.2933,0.34636,0.83612,0.6343,0.70082
"s__un_g__Gordonia",0.14224,0.52199,0.25737,0.80219,0.29057,0.6293,0.86593,0.98874
"s__un_g__Plantactinospora",0.65383,0.2716,0.80385,0.30535,0.11781,0.503,0.65201,0.04882
"s__un_g__Nitrososphaera",0.72273,0.83815,0.09837,0.66105,0.0515,0.47334,0.37247,0.11253
"s__un_f__Sneathiellaceae",0.86195,0.0285,0.60607,0.19594,0.41497,0.15223,0.07858,0.17159
"s__Micromonospora_siamensis",0.10998,0.27414,0.34625,0.75709,0.97887,0.19798,0.88482,0.40124
"s__Arthrobacter_globiformis",0.36085,0.25226,0.4404,0.97297,0.49465,0.70334,0.5134,0.04432
"s__Clostridium_straminisolvens",0.39717,0.71631,0.21962,0.28807,0.13699,0.07314,0.49417,0.51635
"s__un_f__Leptospiraceae",0.776,0.83949,0.29474,0.25244,0.80001,0.40019,0.50168,0.66012
"s__un_g__Enterobacter",0.57497,0.05011,0.24115,0.53754,0.16275,0.53426,0.39182,0.30145
"s__un_g__Clostridium_XI",0.731,0.77766,0.42351,0.20233,0.98441,0.7998,0.91377,0.32945
"s__Pseudoxanthomonas_indica",0.74616,0.41931,0.57998,0.45559,0.6778,0.67729,0.73281,0.73653
"s__un_g__Gp25",0.33291,0.35114,0.698,0.7538,0.53122,0.6959,0.81981,0.46831
"s__Parachlamydia_acanthamoebae",0.4336,0.95184,0.61592,0.8727,0.35664,0.00864,0.2935,0.66914
"s__un_f__Bacteriovoracaceae",0.88896,0.87402,0.49716,0.87472,0.11893,0.73069,0.86661,0.40308
"s__Aridibacter_famidurans",0.38296,0.25083,0.20594,0.8006,0.94058,0.84767,0.04108,0.87472
"s__un_f__Parachlamydiaceae",0.00599,0.83985,0.48281,0.55175,0.3111,0.92929,0.93935,0.92978
"s__un_g__Methylovorus",0.86827,0.33824,0.52229,0.84505,0.96376,0.60926,0.62611,0.76144
"s__Marmoricola_aequoreus",0.54595,0.28494,0.76407,0.15585,0.13031,0.88572,0.80682,0.57094
"s__Arenimonas_donghaensis",0.23407,0.49434,0.01479,0.67825,0.14856,0.00316,0.43824,0.62442
"s__un_g__Gp11",0.62692,0.98572,0.23589,0.86169,0.4677,0.0871,0.0955,0.38976
"s__Blastococcus_jejuensis",0.1732,0.96225,0.8212,0.52417,0.82641,0.9645,0.43881,0.03677
"s__Povalibacter_uvarum",0.76264,0.00695,0.07879,0.86592,0.56335,0.6602,0.60261,0.53062
"s__Lysobacter_oryzae",0.4875,0.15058,0.03106,0.33481,0.76173,0.14002,0.80611,0.64684
"s__Nonomuraea_salmonea",0.02669,0.56399,0.88567,0.9764,0.36442,0.30376,0.58775,0.36825
"s__un_g__Bauldia",0.38726,0.25346,0.46726,0.4549,0.72988,0.16815,0.21565,0.6501
"s__Uliginosibacterium_gangwonense",0.9927,0.92677,0.81123,0.08412,0.63366,0.18884,0.14561,0.69074
"s__Blastocatella_fastidiosa",0.68632,0.50669,0.04039,0.68679,0.02911,0.45234,0.05623,0.35684
"s__Aggregicoccus_edonensis",0.0078,0.04136,0.75389,0.95132,0.40989,0.73656,0.3469,0.7157
"s__Bacillus_infernus",0.12391,0.64236,0.30496,0.17928,0.84423,0.86183,0.47738,0.83021
"s__Flavobacterium_subsaxonicum",0.66189,0.0958,0.16246,0.22637,0.70051,0.43041,0.76299,0.69837
"s__un_c__Subdivision3",0.78191,0.06302,0.69744,0.23907,0.79445,0.41094,0.06973,0.15119
"s__un_g__Leptospira",0.21952,0.68794,0.46897,0.80244,0.40531,0.84263,0.9073,0.29972
"s__un_g__Phycicoccus",0.51202,0.59676,0.86315,0.068,0.31177,0.13457,0.44997,0.24933
"s__un_g__Chitinophaga",0.85716,0.42305,0.36611,0.35718,0.59646,0.19348,0.82635,0.73174
"s__Nonomuraea_kuesteri",0.89359,0.91399,0.70819,0.77044,0.04597,0.35807,0.25954,0.31715
"s__Mangrovibacterium_diazotrophicum",0.28954,0.72515,0.2734,0.11031,0.8233,0.41112,0.52894,0.2849
"s__Thioalkalivibrio_sulfidiphilus",0.36861,0.36894,0.08731,0.50711,0.52388,0.83274,0.81525,0.42384
"s__Pelagibius_litoralis",0.97816,0.12522,0.67534,0.49358,0.10537,0.04526,0.29261,0.08524
"s__un_g__Terribacillus",0.61635,0.98179,0.07009,0.02338,0.97812,0.25185,0.9774,0.36114
"s__Terrimonas_aquatica",0.9089,0.52724,0.40525,0.33128,0.14071,0.45111,0.527,0.37262
